[-0.93536183],[0.64756192],[-0.16294538],[0.07976875],[-0.8188563]
[-0.76545738],[0.26772418],[0.01923884],[0.10684881],[-0.91454732]
[-0.49565269],[-0.30487401],[0.53385651],[0.09576959],[-1.05426341]
[0.16122711],[-0.39849786],[-0.05746794],[0.23115052],[-1.03564349]
[0.33912902],[0.07285475],[0.57735839],[0.09537039],[-0.22212163]
[0.90288413],[0.80433129],[1.07468895],[0.35478969],[-0.6032461]
[0.52359991],[0.94082665],[1.04893074],[0.8385289],[-0.50912851]
[0.28677769],[0.85156082],[0.82034864],[0.83962052],[-0.57353573]
[0.32653515],[0.5138554],[0.88857076],[0.91864142],[-0.42367014]
[0.03520209],[0.81357699],[0.7232571],[0.68855226],[-0.25256142]
[-0.14224036],[0.73819759],[0.9482486],[0.38537469],[-0.29640656]
[0.10253702],[0.76523734],[0.60592331],[0.12364621],[-0.62703031]
[-0.08421746],[0.56086628],[0.3884191],[0.23200037],[0.31418908]
[0.28107439],[0.34302405],[0.30530032],[-0.00628021],[1.29517889]
[0.08020048],[0.08883198],[0.25439733],[-0.25000938],[1.69831495]
[-0.40462738],[-0.31014595],[-0.10109649],[-0.40931004],[1.99864277]
[-0.77143986],[-0.3244576],[0.22969094],[-0.72358465],[2.]
[-0.76293061],[-0.36135957],[0.3139143],[-1.0538598],[1.62357314]
[-0.73622133],[-0.06246784],[0.22778446],[-0.95195379],[1.21944774]
[-0.90855161],[-0.03459539],[0.21310673],[-1.00085219],[1.67248114]
[-0.56024702],[0.04706293],[0.10233284],[-0.94777744],[1.7905144]
[-0.31519074],[-0.22487113],[0.37714255],[-0.99302929],[1.82622349]
[-0.36908696],[-0.10420108],[0.01518842],[-1.4619417],[1.48159173]
[-0.67429974],[0.1221478],[-0.5107441],[-1.33306552],[1.44163126]
[-0.3105107],[-0.52354374],[-0.77150172],[-1.20239632],[1.91085718]
[-0.14980026],[-0.9373636],[-1.10644431],[-1.18117803],[1.37010789]
[-0.43628462],[-0.56898749],[-1.00686926],[-1.64135718],[1.44184961]
[-0.05970114],[-0.57379501],[-0.60905817],[-1.34211465],[1.74844674]
[0.62072584],[-0.59206618],[-0.93365165],[-1.29176002],[1.85884279]
[0.91286224],[-0.10476441],[-0.88124912],[-0.61088349],[1.39855372]
[1.13394656],[-0.06895921],[-0.60787287],[-0.8988864],[1.30906129]
[0.94314524],[0.07302147],[-0.37803535],[-1.0266911],[1.03753916]
[0.46392623],[-0.11769122],[-0.32993111],[-1.75703414],[0.71184232]
[0.13317898],[0.02212386],[-0.60672916],[-1.39266483],[0.83364873]
[-0.10150711],[0.05503255],[-0.60184901],[-1.28617537],[0.92564547]
[-0.31538176],[-0.22983502],[-0.3147845],[-0.67988537],[0.58223405]
[-1.11812965],[-0.50696292],[-0.71886904],[-0.16922854],[0.50690988]
